word	nodeType	synsetCount	unit
black	ADJ	22	ferris
silent	ADJ	6	ferris
ready	ADJ	8	ferris
aural	ADJ	2	ferris
old	ADJ	9	ferris
old	ADJ	9	ferris
old	ADJ	9	ferris
sadistic	ADJ	1	ferris
big	ADJ	17	ferris
silent	ADJ	6	ferris
tense	ADJ	8	ferris
open	ADJ	36	ferris
breathless	ADJ	3	ferris
worried	ADJ	8	ferris
wrong	ADJ	13	ferris
wrong	ADJ	13	ferris
close	ADJ	37	ferris
old	ADJ	9	ferris
open	ADJ	36	ferris
fat	ADJ	9	ferris
dry	ADJ	19	ferris
late	ADJ	11	ferris
early	ADJ	9	ferris
upper	ADJ	6	ferris
middle	ADJ	9	ferris
close	ADJ	37	ferris
lifeless	ADJ	4	ferris
cold	ADJ	16	ferris
clammy	ADJ	1	ferris
choked	ADJ	15	ferris
raspy	ADJ	1	ferris
fine	ADJ	10	ferris
good	ADJ	27	ferris
fruitful	ADJ	1	ferris
okay	ADJ	4	ferris
old	ADJ	9	ferris
cute	ADJ	2	ferris
major	ADJ	13	ferris
fine	ADJ	10	ferris
enough	ADJ	3	ferris
angry	ADJ	3	ferris
unfair	ADJ	1	ferris
upset	ADJ	17	ferris
thankful	ADJ	1	ferris
fit	ADJ	16	ferris
myocardial	ADJ	1	ferris
right	ADJ	36	ferris
syphilitic	ADJ	2	ferris
huge	ADJ	1	ferris
worried	ADJ	8	ferris
alright	ADJ	4	ferris
big	ADJ	17	ferris
okay	ADJ	4	ferris
nice	ADJ	6	ferris
such	ADJ	2	ferris
special	ADJ	10	ferris
pathetic	ADJ	3	ferris
well	ADJ	22	ferris
glassy	ADJ	3	ferris
sly	ADJ	1	ferris
little	ADJ	10	ferris
brilliant	ADJ	6	ferris
incredible	ADJ	1	ferris
bad	ADJ	17	ferris
beautiful	ADJ	2	ferris
clammy	ADJ	1	ferris
physical	ADJ	7	ferris
good	ADJ	27	ferris
non	ADJ	1	ferris
-	ADJ	0	ferris
specific	ADJ	6	ferris
pretty	ADJ	3	ferris
nervous	ADJ	5	ferris
bad	ADJ	17	ferris
new	ADJ	12	ferris
little	ADJ	10	ferris
stupid	ADJ	4	ferris
childish	ADJ	1	ferris
high	ADJ	18	ferris
right	ADJ	36	ferris
little	ADJ	10	ferris
ninth	ADJ	3	ferris
sick	ADJ	9	ferris
beautiful	ADJ	2	ferris
high	ADJ	18	ferris
pebbled	ADJ	0	ferris
european	ADJ	2	ferris
european	ADJ	2	ferris
european	ADJ	2	ferris
fascist	ADJ	2	ferris
different	ADJ	5	ferris
good	ADJ	27	ferris
first	ADJ	16	ferris
good	ADJ	27	ferris
political	ADJ	3	ferris
right	ADJ	36	ferris
drunk	ADJ	9	ferris
guilty	ADJ	2	ferris
careful	ADJ	5	ferris
old	ADJ	9	ferris
touchy	ADJ	2	ferris
old	ADJ	9	ferris
favorite	ADJ	5	ferris
old	ADJ	9	ferris
eighth	ADJ	3	ferris
serious	ADJ	6	ferris
bad	ADJ	17	ferris
only	ADJ	9	ferris
right	ADJ	36	ferris
dead	ADJ	21	ferris
complete	ADJ	10	ferris
sad	ADJ	3	ferris
old	ADJ	9	ferris
whole	ADJ	8	ferris
artificial	ADJ	3	ferris
dark	ADJ	16	ferris
wrong	ADJ	13	ferris
wrong	ADJ	13	ferris
specific	ADJ	6	ferris
aware	ADJ	2	ferris
conditioned	ADJ	7	ferris
kinda	ADJ	1	ferris
sure	ADJ	10	ferris
legit	ADJ	0	ferris
own	ADJ	2	ferris
different	ADJ	5	ferris
serious	ADJ	6	ferris
sick	ADJ	9	ferris
possible	ADJ	4	ferris
own	ADJ	2	ferris
great	ADJ	7	ferris
bored	ADJ	4	ferris
nervous	ADJ	5	ferris
whole	ADJ	8	ferris
easy	ADJ	15	ferris
loose	ADJ	18	ferris
young	ADJ	14	ferris
strong	ADJ	10	ferris
full	ADJ	13	ferris
rich	ADJ	13	ferris
sleek	ADJ	4	ferris
modern	ADJ	7	ferris
prime	ADJ	12	ferris
dark	ADJ	16	ferris
dreary	ADJ	2	ferris
sick	ADJ	9	ferris
high	ADJ	18	ferris
random	ADJ	1	ferris
weak	ADJ	12	ferris
little	ADJ	10	ferris
sick	ADJ	9	ferris
complete	ADJ	10	ferris
sorry	ADJ	4	ferris
good	ADJ	27	ferris
tight	ADJ	16	ferris
close	ADJ	37	ferris
little	ADJ	10	ferris
easy	ADJ	15	ferris
tight	ADJ	16	ferris
dirty	ADJ	13	ferris
yellow	ADJ	8	ferris
pristine	ADJ	2	ferris
last	ADJ	21	ferris
empty	ADJ	10	ferris
sick	ADJ	9	ferris
good	ADJ	27	ferris
last	ADJ	21	ferris
serious	ADJ	6	ferris
weary	ADJ	3	ferris
cheery	ADJ	1	ferris
big	ADJ	17	ferris
imaginary	ADJ	2	ferris
real	ADJ	13	ferris
nitrous	ADJ	1	ferris
rapid	ADJ	3	ferris
bumpy	ADJ	2	ferris
high	ADJ	18	ferris
petite	ADJ	2	ferris
pink	ADJ	7	ferris
pink	ADJ	7	ferris
blue	ADJ	16	ferris
crumpled	ADJ	5	ferris
damaging	ADJ	4	ferris
much	ADJ	7	ferris
gross	ADJ	10	ferris
wicked	ADJ	5	ferris
insensitive	ADJ	2	ferris
likely	ADJ	5	ferris
easy	ADJ	15	ferris
sticky	ADJ	5	ferris
stiff	ADJ	11	ferris
hard	ADJ	22	ferris
obvious	ADJ	1	ferris
mint	ADJ	8	ferris
single	ADJ	10	ferris
familiar	ADJ	7	ferris
blue	ADJ	16	ferris
dusty	ADJ	2	ferris
dirty	ADJ	13	ferris
matted	ADJ	4	ferris
crisp	ADJ	9	ferris
new	ADJ	12	ferris
modest	ADJ	7	ferris
small	ADJ	13	ferris
open	ADJ	36	ferris
light	ADJ	47	ferris
real	ADJ	13	ferris
suburban	ADJ	1	ferris
cute	ADJ	2	ferris
little	ADJ	10	ferris
real	ADJ	13	ferris
black	ADJ	22	ferris
realistic	ADJ	3	ferris
dead	ADJ	21	ferris
sorry	ADJ	4	ferris
high	ADJ	18	ferris
modern	ADJ	7	ferris
suburban	ADJ	1	ferris
high	ADJ	18	ferris
aware	ADJ	2	ferris
passing	ADJ	37	ferris
sick	ADJ	9	ferris
first	ADJ	16	ferris
aware	ADJ	2	ferris
exemplary	ADJ	3	ferris
dead	ADJ	21	ferris
tough	ADJ	12	ferris
clean	ADJ	31	ferris
short	ADJ	23	ferris
confident	ADJ	3	ferris
last	ADJ	21	ferris
mistaken	ADJ	4	ferris
absent	ADJ	4	ferris
bad	ADJ	17	ferris
ill	ADJ	9	ferris
prone	ADJ	2	ferris
sick	ADJ	9	ferris
throbbing	ADJ	6	ferris
passing	ADJ	37	ferris
sorry	ADJ	4	ferris
sorry	ADJ	4	ferris
sick	ADJ	9	ferris
sick	ADJ	9	ferris
whole	ADJ	8	ferris
sweet	ADJ	16	ferris
second	ADJ	15	ferris
second	ADJ	15	ferris
second	ADJ	15	ferris
third	ADJ	8	ferris
second	ADJ	15	ferris
third	ADJ	8	ferris
excited	ADJ	12	ferris
sure	ADJ	10	ferris
second	ADJ	15	ferris
serious	ADJ	6	ferris
upset	ADJ	17	ferris
hard	ADJ	22	ferris
bad	ADJ	17	ferris
long	ADJ	12	ferris
dangerous	ADJ	2	ferris
good	ADJ	27	ferris
bad	ADJ	17	ferris
last	ADJ	21	ferris
popular	ADJ	4	ferris
first	ADJ	16	ferris
impressed	ADJ	8	ferris
proud	ADJ	2	ferris
glorious	ADJ	3	ferris
late	ADJ	11	ferris
little	ADJ	10	ferris
new	ADJ	12	ferris
good	ADJ	27	ferris
serious	ADJ	6	ferris
bullshit	ADJ	2	ferris
sick	ADJ	9	ferris
good	ADJ	27	ferris
beautiful	ADJ	2	ferris
weary	ADJ	3	ferris
bad	ADJ	17	ferris
other	ADJ	4	ferris
second	ADJ	15	ferris
last	ADJ	21	ferris
nice	ADJ	6	ferris
miserable	ADJ	6	ferris
darn	ADJ	3	ferris
close	ADJ	37	ferris
rude	ADJ	5	ferris
worried	ADJ	8	ferris
second	ADJ	15	ferris
alright	ADJ	4	ferris
little	ADJ	10	ferris
great	ADJ	7	ferris
cool	ADJ	11	ferris
heavy	ADJ	30	ferris
least	ADJ	3	ferris
sick	ADJ	9	ferris
great	ADJ	7	ferris
sure	ADJ	10	ferris
busy	ADJ	6	ferris
dumb	ADJ	4	ferris
sick	ADJ	9	ferris
mammoth	ADJ	2	ferris
right	ADJ	36	ferris
hard	ADJ	22	ferris
right	ADJ	36	ferris
normal	ADJ	5	ferris
drunk	ADJ	9	ferris
catholic	ADJ	3	ferris
dumb	ADJ	4	ferris
abnormal	ADJ	3	ferris
sick	ADJ	9	ferris
headed	ADJ	13	ferris
disappointed	ADJ	2	ferris
heraldic	ADJ	2	ferris
good	ADJ	27	ferris
good	ADJ	27	ferris
only	ADJ	9	ferris
concerned	ADJ	5	ferris
critical	ADJ	7	ferris
strategic	ADJ	2	ferris
only	ADJ	9	ferris
strategic	ADJ	2	ferris
satisfied	ADJ	5	ferris
beautiful	ADJ	2	ferris
tweedy	ADJ	2	ferris
dry	ADJ	19	ferris
dusty	ADJ	2	ferris
obvious	ADJ	1	ferris
dead	ADJ	21	ferris
dead	ADJ	21	ferris
suspicious	ADJ	2	ferris
dead	ADJ	21	ferris
hard	ADJ	22	ferris
daytime	ADJ	1	ferris
startled	ADJ	3	ferris
annoyed	ADJ	3	ferris
bad	ADJ	17	ferris
obvious	ADJ	1	ferris
sure	ADJ	10	ferris
happy	ADJ	4	ferris
dead	ADJ	21	ferris
cold	ADJ	16	ferris
nervy	ADJ	3	ferris
litttle	ADJ	0	ferris
right	ADJ	36	ferris
other	ADJ	4	ferris
other	ADJ	4	ferris
other	ADJ	4	ferris
big	ADJ	17	ferris
old	ADJ	9	ferris
ugly	ADJ	4	ferris
angry	ADJ	3	ferris
second	ADJ	15	ferris
same	ADJ	6	ferris
sorry	ADJ	4	ferris
possible	ADJ	4	ferris
first	ADJ	16	ferris
deep	ADJ	21	ferris
phoney	ADJ	2	ferris
sorry	ADJ	4	ferris
embarrassed	ADJ	4	ferris
french	ADJ	5	ferris
sure	ADJ	10	ferris
clear	ADJ	45	ferris
goddamn	ADJ	3	ferris
well	ADJ	22	ferris
last	ADJ	21	ferris
scared	ADJ	4	ferris
shitless	ADJ	1	ferris
impossible	ADJ	4	ferris
great	ADJ	7	ferris
short	ADJ	23	ferris
sweet	ADJ	16	ferris
enthusiastic	ADJ	1	ferris
wrong	ADJ	13	ferris
suspicious	ADJ	2	ferris
deep	ADJ	21	ferris
few	ADJ	2	ferris
loud	ADJ	4	ferris
second	ADJ	15	ferris
stupid	ADJ	4	ferris
incredulous	ADJ	1	ferris
sick	ADJ	9	ferris
phoney	ADJ	2	ferris
nice	ADJ	6	ferris
sorry	ADJ	4	ferris
uncalled	ADJ	0	ferris
serious	ADJ	6	ferris
serious	ADJ	6	ferris
right	ADJ	36	ferris
small	ADJ	13	ferris
heraldic	ADJ	2	ferris
black	ADJ	22	ferris
erotic	ADJ	2	ferris
red	ADJ	7	ferris
ashen	ADJ	2	ferris
grim	ADJ	6	ferris
monotone	ADJ	4	ferris
Less	ADJ	5	ferris
more	ADJ	5	ferris
fine	ADJ	10	ferris
sorry	ADJ	4	ferris
real	ADJ	13	ferris
simple	ADJ	9	ferris
suspicious	ADJ	2	ferris
big	ADJ	17	ferris
proud	ADJ	2	ferris
distinctive	ADJ	2	ferris
sorry	ADJ	4	ferris
crazy	ADJ	6	ferris
perfect	ADJ	5	ferris
top	ADJ	22	ferris
obvious	ADJ	1	ferris
likely	ADJ	5	ferris
suspicious	ADJ	2	ferris
low	ADJ	16	ferris
close	ADJ	37	ferris
terrific	ADJ	3	ferris
old	ADJ	9	ferris
dear	ADJ	8	ferris
careful	ADJ	5	ferris
suspicious	ADJ	2	ferris
hasty	ADJ	2	ferris
great	ADJ	7	ferris
comfortable	ADJ	5	ferris
fabulous	ADJ	3	ferris
quick	ADJ	8	ferris
risky	ADJ	2	ferris
bold	ADJ	4	ferris
necessary	ADJ	3	ferris
good	ADJ	27	ferris
suburban	ADJ	1	ferris
fresh	ADJ	13	ferris
modern	ADJ	7	ferris
cocky	ADJ	1	ferris
confident	ADJ	3	ferris
open	ADJ	36	ferris
silver	ADJ	12	ferris
blue	ADJ	16	ferris
high	ADJ	18	ferris
high	ADJ	18	ferris
small	ADJ	13	ferris
solid	ADJ	18	ferris
blue	ADJ	16	ferris
little	ADJ	10	ferris
pooped	ADJ	0	ferris
other	ADJ	4	ferris
chipper	ADJ	1	ferris
polite	ADJ	3	ferris
slavic	ADJ	2	ferris
hearty	ADJ	5	ferris
latter	ADJ	2	ferris
excited	ADJ	12	ferris
thrilled	ADJ	5	ferris
aged	ADJ	9	ferris
bored	ADJ	4	ferris
sour	ADJ	11	ferris
puss	ADJ	4	ferris
teenage	ADJ	1	ferris
light	ADJ	47	ferris
local	ADJ	5	ferris
open	ADJ	36	ferris
adjacent	ADJ	3	ferris
ax	ADJ	3	ferris
mature	ADJ	11	ferris
additional	ADJ	1	ferris
aware	ADJ	2	ferris
proud	ADJ	2	ferris
baffled	ADJ	5	ferris
sick	ADJ	9	ferris
metallic	ADJ	3	ferris
mannequin	ADJ	2	ferris
mannequin	ADJ	2	ferris
stiff	ADJ	11	ferris
awful	ADJ	7	ferris
unable	ADJ	3	ferris
goddamn	ADJ	3	ferris
puzzled	ADJ	3	ferris
crazy	ADJ	6	ferris
good	ADJ	27	ferris
goddamn	ADJ	3	ferris
major	ADJ	13	ferris
new	ADJ	12	ferris
flabbergasted	ADJ	2	ferris
hey	ADJ	0	ferris
heartless	ADJ	2	ferris
large	ADJ	11	ferris
hourly	ADJ	2	ferris
extra	ADJ	7	ferris
special	ADJ	10	ferris
beautiful	ADJ	2	ferris
beautiful	ADJ	2	ferris
sure	ADJ	10	ferris
graphic	ADJ	6	ferris
right	ADJ	36	ferris
long	ADJ	12	ferris
skinny	ADJ	5	ferris
tall	ADJ	5	ferris
huge	ADJ	1	ferris
spirited	ADJ	5	ferris
dark	ADJ	16	ferris
soft	ADJ	20	ferris
taut	ADJ	2	ferris
open	ADJ	36	ferris
close	ADJ	37	ferris
like	ADJ	11	ferris
open	ADJ	36	ferris
original	ADJ	6	ferris
tall	ADJ	5	ferris
tall	ADJ	5	ferris
vantage	ADJ	2	ferris
personal	ADJ	6	ferris
good	ADJ	27	ferris
dizzying	ADJ	1	ferris
middle	ADJ	9	ferris
aged	ADJ	9	ferris
lean	ADJ	10	ferris
clean	ADJ	31	ferris
tough	ADJ	12	ferris
humorless	ADJ	1	ferris
puzzled	ADJ	3	ferris
underground	ADJ	6	ferris
giant	ADJ	8	ferris
round	ADJ	25	ferris
great	ADJ	7	ferris
big	ADJ	17	ferris
cutest	ADJ	11	ferris
annoyed	ADJ	3	ferris
giant	ADJ	8	ferris
old	ADJ	9	ferris
deep	ADJ	21	ferris
enriching	ADJ	2	ferris
true	ADJ	15	ferris
serious	ADJ	6	ferris
serious	ADJ	6	ferris
compatible	ADJ	3	ferris
young	ADJ	14	ferris
awkward	ADJ	6	ferris
only	ADJ	9	ferris
good	ADJ	27	ferris
married	ADJ	5	ferris
other	ADJ	4	ferris
right	ADJ	36	ferris
old	ADJ	9	ferris
natural	ADJ	13	ferris
other	ADJ	4	ferris
divorced	ADJ	3	ferris
right	ADJ	36	ferris
comfortable	ADJ	5	ferris
comfortable	ADJ	5	ferris
parental	ADJ	2	ferris
old	ADJ	9	ferris
fake	ADJ	8	ferris
cool	ADJ	11	ferris
good	ADJ	27	ferris
pure	ADJ	7	ferris
common	ADJ	10	ferris
cute	ADJ	2	ferris
charming	ADJ	6	ferris
cool	ADJ	11	ferris
crusty	ADJ	2	ferris
old	ADJ	9	ferris
sorry	ADJ	4	ferris
other	ADJ	4	ferris
frightening	ADJ	4	ferris
casual	ADJ	9	ferris
heavy	ADJ	30	ferris
french	ADJ	5	ferris
sorry	ADJ	4	ferris
busy	ADJ	6	ferris
